FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
1,2025,7,159235,15000012,SR686/ROOSEVELT BLVD,CR-611/49 ST,2700,X,F,F,F,F,0,0.149,9,0,54.3,7,239.6262,15,Pinellas,7,239.626206913639
2,2025,5,702038,70225077,SR-528 EB,RAMP 70225061,13500,S,F,F,W,2,0,0.301,9,0,99.9,9.9,484.6558,70,Brevard,5,484.655809499023
3,2025,7,029041,02505000,W GULF TO LAKE HWY,N FLORIDA AVE,19400,C,F,F,F,F,0,10.803,9,0,52.8,9.1,17392.9543,02,Citrus,7,17392.9543175388
4,2025,2,389106,38504000,CR-359,US-19/27A/98/SR-5,1400,C,F,F,F,F,0,2.667,9,0,55.6,4,4293.6907,38,Taylor,2,4293.69072322764
5,2025,7,146028,14501000,ANCLOTE BLVD,ANCLOTE GULF PARK,4400,C,F,F,F,F,0,1.381,9,0,55.7,5.9,2222.7202,14,Pasco,7,2222.72018145084
6,2025,5,704001,70080113,RAMP 70080005,RAMP 70080005,4900,T,F,F,W,F,0,0.016,9,0,99.9,4.4,26.3709,70,Brevard,5,26.3708742613163
7,2025,1,014072,01000041,US-41/SR-45,HARBOR BLVD,9900,S,F,F,F,F,0,0.43,9,0,53.1,51,695.6021,01,Charlotte,1,695.602139362877
8,2025,5,972080,70470004,SR 524 SB,SR 528 WB,1100,C,F,F,W,F,0,0.425,9,0,99.9,20.1,683.9149,70,Brevard,8,683.914876773021
9,2025,7,029029,02000034,E LIBERTY ST,N INDIANHEAD RD,2300,C,F,F,F,F,0,2.668,9,0,52.8,9.1,4279.4852,02,Citrus,7,4279.48524418604
10,2025,5,700348,70008000,BERKLEY ST,PATRICK AIR BASE,17300,S,F,F,F,2,4.371,5.253,9,0,54.8,10.6,1418.5949,70,Brevard,5,1418.59489633653
11,2025,5,705126,70020000,SR-518/MONTREAL AVE,AURORA RD,36500,F,F,F,F,F,4.068,4.511,9,0,54.8,4.9,712.671,70,Brevard,5,712.67101561764
12,2025,7,145512,14091000,CR-581/BRUCE B DOWNS,MANSFIELD BLVD,44500,C,F,F,F,A,3.729,5.437,9,0,55.7,3.6,2748.7498,14,Pasco,7,2748.74982864129
13,2025,7,029005,02000060,CR-488 / W DUNNELLON,W IVY ST,5100,C,F,F,F,F,0,0.26,9,0,52.8,9.1,418.8529,02,Citrus,7,418.852875968075
14,2025,5,702016,70220125,I-95 NB,WICKHAM RD,13500,S,F,F,W,2,0,0.297,9,0,99.9,4.9,479.2888,70,Brevard,5,479.288773378291
15,2025,1,010041,04010000,CHARLOTTE CO LN,SE EAST FARMS RD,7000,C,F,F,F,A,0,2.34,9.5,0,53.4,56.6,3767.2384,04,Desoto,1,3767.23836698997
16,2025,7,021004,02050000,CR490/W HOMOSASSA TL,S COUNTRY OAKS TER,24000,C,F,F,F,A,6.811,7.051,9,0,52.8,20.3,386.3308,02,Citrus,7,386.330798875306
17,2025,6,870581,87260000,Bridge No-870104,ON RAMP 87260514,145500,C,F,F,F,F,23.011,23.54,8,0,56.6,7.8,849.4861,87,Miami-Dade,6,849.486069007224
18,2025,2,380022,38010000,DIXIE CO LINE,SR-51,5600,C,F,F,F,F,0,0.226,9.5,0,55.6,12.3,362.333,38,Taylor,2,362.332972764791
19,2025,1,017014,01075310,I-75 / SR 93 SB OFF,N JONES LOOP RD,8500,S,F,F,W,F,0,0.237,10.5,0,99.9,15.8,364.9454,01,Charlotte,1,364.945379502081
20,2025,7,149604,14000145,N/A,N/A,14300,C,F,F,F,F,1.842,4.855,9,0,55.7,9.4,4848.934,14,Pasco,7,4848.93400272566
21,2025,5,778102,77000247,BUNNELL RD,RAINER DR,7400,F,F,F,F,F,0,0.122,9,0,53.3,8.3,195.6495,77,Seminole,5,195.649543991128
22,2025,1,014473,01000589,BURNT STORE RD/CR-76,TAMIAMI TRL/US-41,1600,X,F,F,F,F,0,5.336,9,0,53.3,11.7,8617.897,01,Charlotte,1,8617.89698276415
23,2025,5,702051,70225091,SR-406,I-95 SB,5300,S,F,F,W,2,0,0.163,9,0,99.9,5.9,264.0397,70,Brevard,5,264.039662108591
24,2025,7,149105,14712000,US-19/SR-55,BROAD ST,28000,C,F,F,F,F,0,2.755,9,0,55.7,7.2,4420.9805,14,Pasco,7,4420.98046044992
25,2025,7,149631,14000172,PRINCEWOOD LN,N/A,7500,R,F,F,F,F,0,0.159,9,0,55.7,7.7,256.7454,14,Pasco,7,256.745413682431
26,2025,2,379125,37070000,US-27/SR-20,US-90/SR-10,3800,V,F,F,F,F,2.755,27.381,9,0,56.1,5,39624.8623,37,Suwannee,2,39624.862308352
27,2025,7,145116,14090000,N/A,N/A,15000,C,F,F,F,F,11.912,12.313,9,0,99.9,4.9,645.2276,14,Pasco,7,645.227613088268
28,2025,7,149058,14000084,US301/SR39/GALL BLVD,CHANCEY RD,4900,C,F,F,F,F,0,2.27,9,0,55.7,7.2,3664.6392,14,Pasco,7,3664.63922357301
29,2025,7,140062,14040000,COUNTY LINE RD,BRINSON RD,28500,C,F,F,F,A,0,0.84,9,0,55.7,5.3,1333.7295,14,Pasco,7,1333.72951684212
30,2025,5,702007,70220118,CR-516,I-95 / SR-9,8300,S,F,F,W,2,0,0.37,9,0,99.9,7.2,595.8402,70,Brevard,5,595.840244610477
31,2025,6,876239,87260390,WB NW 36 ST,SB SR 826,14000,C,F,F,W,A,0,0.321,8,0,99.9,19.4,535.6428,87,Miami-Dade,6,535.642788393276
32,2025,5,707097,70580500,LUCAS RD,PIONEER RD,850,F,F,F,F,1,0,2.053,9,0,54.8,8.4,3304.3474,70,Brevard,5,3304.3474006245
33,2025,2,379135,37511000,165TH RD,CR-349,250,T,F,F,F,F,0,1.515,9.5,0,56.1,5,2421.5037,37,Suwannee,2,2421.50371677155
34,2025,1,010007,01010000,MURDOCK CIR,VETERANS BLVD,50000,E,F,F,F,F,21.537,21.888,9,0,53.3,2.7,564.5215,01,Charlotte,1,564.521512540928
35,2025,7,149021,14000141,MENTMORE BLVD,OAKSTEAD BLVD,8000,E,F,F,F,F,0,0.521,9,0,55.7,7.2,835.7369,14,Pasco,7,835.736886944176
36,2025,5,700425,70070000,SR-520,I-95 SB/SR-9,8600,F,F,F,F,2,0,1.67,9,0,54.8,9.1,2686.9299,70,Brevard,5,2686.92991855246
37,2025,5,778035,77000206,ORANGE CO LINE,SR-436,4100,F,F,F,F,F,0,0.865,9,0,53.3,10,1387.0764,77,Seminole,5,1387.07636333739
38,2025,7,142709,14140009,CR-41/BLANTON RD WB,I-75/SR-93 SB,6000,E,F,F,W,F,0,0.14,9.5,0,99.9,5.6,229.8273,14,Pasco,7,229.827252316371
39,2025,7,146030,14560000,PARKWAY BLVD,SR-52,4800,C,F,F,F,F,1.02,6.651,9.5,0,55.7,5.9,9080.0024,14,Pasco,7,9080.0024125402
40,2025,2,330104,37030000,LAFAYETTE CO LINE,US-129/SR-249,6900,C,F,F,F,F,0,0.08,9.5,0,54.8,16.4,128.7043,37,Suwannee,2,128.704277009372
41,2025,7,149061,14000231,TUSCANY DR,INTERLAKEN RD,19000,C,F,F,F,F,0,2.116,9,0,55.7,7.2,3398.3271,14,Pasco,7,3398.32708717905
42,2025,7,149037,14000058,US-19,MADISON ST,8600,C,F,F,F,F,0,0.751,9,0,55.7,7.2,1203.3849,14,Pasco,7,1203.3849320906
43,2025,2,389124,38620000,US-19/US-98/SR-30,CONNELL CEMETERY RD,350,X,F,F,F,F,0,3.075,9.5,0,55.6,4,4949.0181,38,Taylor,2,4949.0180718093
44,2025,1,014035,01000043,201' E/O BR# 014143,SR 45/US 41,15900,S,F,F,F,F,0,2.958,9,0,53.1,51,4757.334,01,Charlotte,1,4757.33395621761
45,2025,5,972079,70470003,SR 528 EB,SR 524 SB,2100,C,F,F,W,F,0,0.606,9,0,99.9,20.1,973.2979,70,Brevard,8,973.297928286027
46,2025,1,010021,01010000,CR 765A / TAYLOR RD,CR765/N JONES LP RD,16400,F,F,F,F,1,8.583,10.174,9,0,53.3,15.5,2558.8185,01,Charlotte,1,2558.81851532329
47,2025,7,146020,14000088,RT JONES PKWY,N/A,24000,X,F,F,F,F,0.513,2.378,9,0,55.7,5.9,3016.2862,14,Pasco,7,3016.28618101512
48,2025,5,700404,70030000,BURKHOLM RD,VOLUSIA CO LINE,4600,F,F,F,F,1,12.445,17.528,9.5,0,54.8,8.5,8179.3938,70,Brevard,5,8179.39380445745
49,2025,5,778011,77000021,SR-426,SR-434,21600,F,F,F,F,F,0,1.565,9,0,53.3,10,2518.5034,77,Seminole,5,2518.50338592294
50,2025,7,020114,02010000,N/A,N/A,16400,C,F,F,F,A,11.052,11.685,9,0,52.8,9.9,1017.8866,02,Citrus,7,1017.88656793276
51,2025,1,014193,01511000,CR 765A/TAYLOR RD,ALFRED BLVD,2600,S,F,F,F,F,0,3.272,9,0,53.1,51,5267.0128,01,Charlotte,1,5267.01275936701
52,2025,5,702019,70220126,WICKHAM RD,I 95,11000,S,F,F,W,2,0,0.323,9,0,99.9,8.5,524.0004,70,Brevard,5,524.000397763839
53,2025,7,977330,02470001,SR 589 NB,W CARDINAL ST,650,C,F,F,W,F,0,0.412,9.5,0,99.9,12.2,663.01,02,Citrus,8,663.010033458823
54,2025,2,380001,38100000,US-221,MADISON CO LINE,1400,F,F,F,F,F,0,3.063,9.5,0,55.6,4,4929.3986,38,Taylor,2,4929.3986397413
55,2025,7,029003,02000001,US-41/SR-45/S FLA AV,CR39/S ISTACHATTA RD,1300,X,F,F,F,F,0,1.555,9,0,52.8,9.1,2521.7792,02,Citrus,7,2521.77922924884
56,2025,5,700023,70080114,70080000,70080004,2300,S,F,F,W,2,0,0.104,9,0,99.9,9,167.4345,70,Brevard,5,167.434523109301
57,2025,1,014461,01000565,CR-775/PLACIDA RD,SR-776/S MC CALL RD,4800,C,F,F,F,F,0,2.095,9,0,53.1,51,3387.3145,01,Charlotte,1,3387.31446602294
58,2025,3,465225,46000010,US-98B/SR-30/5TH ST,US-98/SR-30A/15TH ST,4100,C,F,F,F,A,0,1.248,9,0,55,7.6,2012.3583,46,Bay,3,2012.35826527063
59,2025,7,029002,02000007,W TEXACO CT,CR488/W DUNNELLON RD,2200,C,F,F,F,F,4.292,5.408,9,0,52.8,9.1,1798.8184,02,Citrus,7,1798.8184040709
60,2025,5,700349,70008000,BANANA RIVER DR,DESOTO PKWY,27000,F,F,F,F,1,0.89,1.908,9,0,54.8,0.8,1637.2965,70,Brevard,5,1637.29651498495
61,2025,5,705149,70011000,CR-503/DIXON BLVD,MICHIGAN AVE,16200,C,F,F,F,A,1.193,2.235,9,0,54.8,6.7,1671.4283,70,Brevard,5,1671.42825375432
62,2025,7,149076,14070001,SR-52 /MERIDIAN AVE,JEAN AV,9800,C,F,F,F,F,11.821,12.299,9,0,55.7,7.2,767.2911,14,Pasco,7,767.291053774808
63,2025,7,029016,02000051,E ORANGE AVE,E GOBBLER DR,1400,E,F,F,F,F,0,2.189,9.5,0,52.8,9.1,3569.3771,02,Citrus,7,3569.37707354323
64,2025,7,145100,14030020,PINELLAS/PASCO CO LN,US-19 / SR-55,16400,C,F,F,F,A,0,0.859,9,0,55.7,5.9,1384.821,14,Pasco,7,1384.82101805188
65,2025,5,702013,70220057,SR-518,I-95 NB,9000,S,F,F,W,2,0,0.185,9,0,99.9,9.9,308.4214,70,Brevard,5,308.421424738974
66,2025,6,876230,87260380,SB SR-826,US-41/SW 8 ST/TAMIAM,5700,C,F,F,W,A,0,0.404,8,0,99.9,4.6,649.4518,87,Miami-Dade,6,649.451824902666
67,2025,6,870405,87260000,Bridge No-870253,Bridge No-870051,143500,C,F,F,F,F,18.979,20.005,9,0,56.6,7.8,1647.5892,87,Miami-Dade,6,1647.58924203699
68,2025,2,380018,38010000,N/A,N/A,11100,C,F,F,F,F,24.894,25.719,9,0,55.6,12.3,1328.4235,38,Taylor,2,1328.42347328353
69,2025,1,015036,01040000,COOPER ST,MARION AVE/US17/SR35,11000,C,F,F,W,A,0.882,1.532,9,0,99.9,7.4,1046.6495,01,Charlotte,1,1046.64949861895
70,2025,7,149021,14000146,SR-54,SR-54,8000,E,F,F,F,F,0,3.265,9,0,55.7,7.2,5231.5721,14,Pasco,7,5231.5720977169
71,2025,5,778150,77000237,S PEARL LAKE CSWY,BUNNELL RD,7900,F,F,F,F,F,0,0.254,9,0,53.3,7.5,403.1295,77,Seminole,5,403.129508808039
72,2025,2,399101,39502000,COLUMBIA CO LINE,CR-241,100,F,F,F,F,F,0,1.167,9.5,0,52.3,9.1,1877.8211,39,Union,2,1877.82108357913
73,2025,7,977255,14470013,SR 52/SCHRADER M HWY,SR 589 NB,2100,C,F,F,W,F,0,0.27,9.5,0,99.9,12.2,437.457,14,Pasco,8,437.456999109248
74,2025,7,149102,14680000,HOPE LN,US 301,10500,X,F,F,F,F,0.794,3.124,9,0,55.7,7.2,3764.0043,14,Pasco,7,3764.00428190572
75,2025,7,149041,14000198,FIVAY RD,SEELEY LN,2900,V,F,F,F,F,0,0.557,9,0,55.7,7.2,926.7494,14,Pasco,7,926.74937986399
76,2025,7,145013,14130000,SR-52/MERIDIAN AVE,US-98/301/SR-35/700,18700,S,F,F,F,2,0.851,1.602,9,0,55.7,23.8,1184.7119,14,Pasco,7,1184.71188516455
77,2025,7,149042,14000065,CR-77/SEVEN SPRINGS,SR-54,7400,C,F,F,F,F,0,1.076,9,0,55.7,7.2,1732.4412,14,Pasco,7,1732.441195435
