FID,ID,LOCATION_S,DISTRICT,CO_SEC_SUB,BMP,EMP,ROUTEID,LENGTH,FTLCRSH_NU,FTLCRSH_AL,FTLCRSH_PC,FCFTL_NUME,FCFTL_ALL,FCFTL_PCT,FCINJ_NUME,FCINJ_ALL,FCINJ_PCT,INJCRSH_NU,INJCRSH_AL,INJCRSH_PC,ICINJ_NUME,ICINJ_ALL,ICINJ_PCT,PDOCRSH_NU,PDOCRSH_AL,PDOCRSH_PC,TOTCRSH_NU,TOTCRSH_AL,TOTCRSH_PC,TOTFTL_NUM,TOTFTL_ALL,TOTFTL_PCT,TOTINJ_NUM,TOTINJ_ALL,TOTINJ_PCT,URBAN
1,2962,2,02,38020000,1.1,1.4,SR   20,0.3,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,4,9,44,4,11,36,0,0,0,0,9,0,N
2,976,1,01,13075000,17.3,17.7,SR   93A,0.4,1,1,100,1,1,100,1,1,100,2,3,67,2,4,50,1,1,100,4,5,80,1,1,100,3,5,60,N
3,3535,2,02,72020087,0,0.113,SR    9,0.113,0,0,0,0,0,0,0,0,0,4,9,44,5,17,29,6,16,38,10,25,40,0,0,0,5,17,29,Y
4,76,1,01,01075000,0.2,0.6,SR   93,0.4,0,1,0,0,1,0,0,1,0,3,6,50,7,11,64,1,3,33,4,10,40,0,1,0,7,12,58,N
5,3031,2,02,71020000,9.3,9.8,SR   15,0.5,0,0,0,0,0,0,0,0,0,9,35,26,23,64,36,13,27,48,22,62,35,0,0,0,23,64,36,Y
6,3178,2,02,72001000,25.033,25.433,SR    9A,0.4,0,0,0,0,0,0,0,0,0,4,7,57,5,8,62,3,12,25,7,19,37,0,0,0,5,8,62,Y
7,337,1,01,04040101,0.1,0.6,SR   70,0.5,0,0,0,0,0,0,0,0,0,1,8,12,1,10,10,7,14,50,8,22,36,0,0,0,1,10,10,N
8,1234,1,01,16070000,3.347,3.947,SR   33,0.6,1,1,100,1,1,100,1,1,100,12,32,38,18,57,32,8,15,53,21,48,44,1,1,100,19,58,33,Y
9,3292,2,02,72001412,0.1,0.4,SR    9,0.3,0,0,0,0,0,0,0,0,0,3,5,60,4,8,50,1,4,25,4,9,44,0,0,0,4,8,50,Y
10,2791,2,02,33030000,8.5,8.724,SR  349,0.224,1,1,100,3,3,100,1,1,100,3,3,100,3,3,100,1,1,100,5,5,100,3,3,100,4,4,100,N
11,991,1,01,13075017,0,0.3,SR   93,0.3,0,1,0,0,1,0,0,1,0,5,15,33,14,34,41,6,14,43,11,30,37,0,1,0,14,35,40,Y
12,3550,2,02,72020180,0.2,0.8,SR    9,0.6,0,0,0,0,0,0,0,0,0,3,5,60,3,5,60,5,13,38,8,18,44,0,0,0,3,5,60,Y
13,91,1,01,01075000,8.5,9,SR   93,0.5,0,0,0,0,0,0,0,0,0,4,7,57,16,19,84,3,8,38,7,15,47,0,0,0,16,19,84,N
14,3046,2,02,71040000,2.5,3,SR  100,0.5,0,0,0,0,0,0,0,0,0,4,7,57,7,11,64,2,3,67,6,10,60,0,0,0,7,11,64,N
15,3193,2,02,72001000,28.533,28.833,SR    9A,0.3,0,0,0,0,0,0,0,0,0,3,11,27,4,15,27,4,7,57,7,18,39,0,0,0,4,15,27,Y
16,3832,2,02,72090444,0,0.19,SR  115A,0.19,0,0,0,0,0,0,0,0,0,2,2,100,2,2,100,6,8,75,8,10,80,0,0,0,2,2,100,Y
17,2938,2,02,37120000,24.2,24.7,SR    8,0.5,0,0,0,0,0,0,0,0,0,1,4,25,1,9,11,5,9,56,6,13,46,0,0,0,1,9,11,N
18,625,1,01,12010000,31.3,31.6,SR   45,0.3,1,1,100,1,1,100,4,4,100,2,7,29,3,13,23,1,3,33,4,11,36,1,1,100,7,17,41,Y
19,3970,2,02,72150000,9.593,9.893,SR  115,0.3,0,0,0,0,0,0,0,0,0,3,4,75,8,9,89,1,3,33,4,7,57,0,0,0,8,9,89,Y
20,3643,2,02,72040000,10.5,11.4,SR   10A,0.9,3,3,100,3,3,100,1,1,100,5,16,31,9,24,38,13,28,46,21,47,45,3,3,100,10,25,40,Y
21,1462,1,01,16180000,15.4,15.8,SR   25,0.4,0,0,0,0,0,0,0,0,0,3,10,30,4,15,27,3,7,43,6,17,35,0,0,0,4,15,27,Y
22,3883,2,02,72100000,17.4,18.8,SR  A1A,1.4,2,2,100,2,2,100,0,0,0,65,161,40,88,219,40,122,214,57,189,377,50,2,2,100,88,219,40,Y
23,3733,2,02,72070000,0.9,1.3,SR    5,0.4,0,1,0,0,1,0,0,0,0,6,7,86,10,12,83,1,2,50,7,10,70,0,1,0,10,12,83,Y
24,856,1,01,12075019,0,0.275,SR   93,0.275,0,0,0,0,0,0,0,0,0,13,27,48,33,58,57,14,36,39,27,63,43,0,0,0,33,58,57,Y
25,406,1,01,06050000,19.8,20.3,SR   64,0.5,0,0,0,0,0,0,0,0,0,2,3,67,3,4,75,5,5,100,7,8,88,0,0,0,3,4,75,N
26,526,1,01,12001000,5,5.257,SR  739,0.257,0,0,0,0,0,0,0,0,0,4,10,40,6,16,38,6,9,67,10,19,53,0,0,0,6,16,38,Y
27,1303,1,01,16100000,4.727,5.227,SR  546,0.5,0,1,0,0,2,0,0,0,0,14,22,64,22,32,69,9,19,47,23,42,55,0,2,0,22,32,69,Y
28,13,1,01,01010000,15,15.5,SR   45,0.5,0,1,0,0,1,0,0,1,0,5,10,50,8,13,62,5,10,50,10,21,48,0,1,0,8,14,57,Y
29,2860,2,02,35090000,14.2,14.5,SR    8,0.3,0,1,0,0,1,0,0,1,0,3,6,50,5,12,42,1,3,33,4,10,40,0,1,0,5,13,38,N
30,1060,1,01,13160000,8.8,9.1,SR   70,0.3,0,0,0,0,0,0,0,0,0,6,12,50,12,24,50,0,5,0,6,17,35,0,0,0,12,24,50,Y
31,160,1,01,03010000,4,4.8,SR   45,0.8,1,1,100,1,1,100,0,0,0,18,57,32,25,80,31,18,37,49,37,95,39,1,1,100,25,80,31,Y
32,757,1,01,12075000,0.8,1.2,SR   93,0.4,0,0,0,0,0,0,0,0,0,5,12,42,13,22,59,10,22,45,15,34,44,0,0,0,13,22,59,Y
33,307,1,01,03175023,0,0.24,SR   93,0.24,0,0,0,0,0,0,0,0,0,4,9,44,6,16,38,0,1,0,4,10,40,0,0,0,6,16,38,Y
34,1204,1,01,16050000,1,1.3,SR  600,0.3,0,0,0,0,0,0,0,0,0,5,11,45,7,16,44,1,6,17,6,17,35,0,0,0,7,16,44,Y
35,3262,2,02,72001116,0,0.3,SR    9A,0.3,0,0,0,0,0,0,0,0,0,1,4,25,1,4,25,3,5,60,4,9,44,0,0,0,1,4,25,Y
36,961,1,01,13075000,12.9,13.4,SR   93,0.5,0,0,0,0,0,0,0,0,0,5,13,38,9,20,45,5,15,33,10,28,36,0,0,0,9,20,45,Y
37,2923,2,02,37120000,17.3,17.8,SR    8,0.5,0,0,0,0,0,0,0,0,0,1,3,33,1,6,17,3,4,75,4,7,57,0,0,0,1,6,17,N
38,3505,2,02,72018000,1.7,2.2,SR  104,0.5,0,0,0,0,0,0,0,0,0,7,19,37,10,36,28,2,6,33,9,25,36,0,0,0,10,36,28,Y
39,3520,2,02,72020000,6.8,7.5,SR    9,0.7,0,0,0,0,0,0,0,0,0,29,70,41,44,100,44,43,118,36,72,188,38,0,0,0,44,100,44,Y
40,61,1,01,01050000,9.237,9.637,SR  776,0.4,1,1,100,1,1,100,0,0,0,4,10,40,5,14,36,4,11,36,9,22,41,1,1,100,5,14,36,Y
41,694,1,01,12070000,1.9,2.2,SR   82,0.3,1,1,100,1,1,100,0,0,0,16,42,38,21,72,29,18,48,38,35,91,38,1,1,100,21,72,29,Y
42,3016,2,02,71020000,2.1,2.4,SR   15,0.3,0,0,0,0,0,0,0,0,0,3,9,33,6,17,35,2,4,50,5,13,38,0,0,0,6,17,35,Y
43,3163,2,02,72001000,20.933,21.233,SR    9A,0.3,0,0,0,0,0,0,0,0,0,2,7,29,8,13,62,6,13,46,8,20,40,0,0,0,8,13,62,Y
44,3802,2,02,72080000,10.3,10.6,SR   15,0.3,0,0,0,0,0,0,0,0,0,3,5,60,3,5,60,1,5,20,4,10,40,0,0,0,3,5,60,Y
45,925,1,01,13075000,1.9,2.4,SR   93,0.5,0,0,0,0,0,0,0,0,0,3,11,27,5,20,25,10,20,50,13,31,42,0,0,0,5,20,25,Y
