FID,ROAD_ID,ROADWAY,RD_STATUS,NUMSECTION,COUNTY,SECTION_,BEGIN_POST,END_POST,RTLENGTH,HIGHMEASUR,SHAPE_Leng,DISTRICT,COUNTYDOT,COUNTYNM,MNG_DIST,Shape__Length
1,89095026,89095026,07,2,89,095026,0,0.365,0.3675,0.365,591.4685,4,89,Martin,4,591.468472704025
2,89095024,89095024,07,2,89,095024,0,0.356,0.3511,0.356,565.1033,4,89,Martin,4,565.10334150083
3,75320810,75320810,10,3,75,320810,0,1.358,1.358,1.358,2186.206,5,75,Orange,5,2186.20599012441
4,77120000,77120000,12,33,77,120000,0,11.282,11.285,11.282,18161.1553,5,77,Seminole,5,18161.155315384
5,77502001,77502001,09,4,77,502001,0,0.806,0.825,0.806,1328.1949,5,77,Seminole,5,1328.19488459345
6,93900277,93900277,16,2,93,900277,0,0.443,0.444,0.443,713.8335,4,93,Palm Beach,4,713.833511749587
7,75340017,75340017,07,1,75,340017,0,0.083,0.083,0.083,134.2466,5,75,Orange,5,134.246632626462
8,89095030,89095030,07,1,89,095030,0,0.273,0.2732,0.273,439.6767,4,89,Martin,4,439.676695805094
9,89095031,89095031,07,1,89,095031,0,0.367,0.3593,0.367,578.2231,4,89,Martin,4,578.223073162128
10,93900278,93900278,16,2,93,900278,0,0.48,0.48,0.48,772.9019,4,93,Palm Beach,4,772.901851427568
11,77000216,77000216,09,3,77,000216,0,1.034,1.034,1.034,1664.7641,5,77,Seminole,5,1664.76405234158
12,77000032,77000032,09,4,77,000032,0,2.663,2.657,2.663,4276.7063,5,77,Seminole,5,4276.70628281518
13,14000080,14000080,09,6,14,000080,0,3.891,3.885,3.891,6252.6903,7,14,Pasco,7,6252.69026267263
14,90503001,90503001,09,1,90,503001,0,1.167,1.1581,1.167,1863.8359,6,90,Monroe,6,1863.83586175126
15,93900279,93900279,16,1,93,900279,0,0.055,0.054,0.055,86.516,4,93,Palm Beach,4,86.5159893845645
