FID,ROADWAY,ROAD_SIDE,OFFSET_DIR,BEGIN_POST,END_POST,SPEED,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
1,75021500,L, ,0.889,1.125,30,380.2836,5,75,Orange,5,380.283580693373
2,29070000,C, ,1.6,1.913,35,503.5345,2,29,Columbia,2,503.534461558779
3,11090000,C, ,18.013,21.541,55,5672.3968,5,11,Lake,5,5672.39679668343
4,60030000,C, ,27.729,28,55,437.3834,3,60,Walton,3,437.383423450229
5,36657000,C, ,12.173,13.507,45,2146.8365,5,36,Marion,5,2146.83651961612
6,36000070,C, ,2.878,4.015,35,1828.0228,5,36,Marion,5,1828.02280824265
7,27520000,C, ,0,1.55,55,2494.3254,2,27,Baker,2,2494.32539717868
8,87000139,R, ,0,2.391,40,3843.7252,6,87,Miami-Dade,6,3843.72520296798
9,70000405,C, ,0.64,0.938,30,476.1373,5,70,Brevard,5,476.137319289227
10,93290000,C, ,11.9,12.072,30,276.8096,4,93,Palm Beach,4,276.809572681814
11,34630000,C, ,2.927,8.019,55,8198.0694,2,34,Levy,2,8198.06942185339
12,75020000,C, ,2.459,2.575,40,186.6619,5,75,Orange,5,186.661917039464
13,34050000,C, ,24.357,24.763,55,653.0197,2,34,Levy,2,653.019710448533
14,26030000,C, ,0,2.796,60,4497.5599,2,26,Alachua,2,4497.55987833019
15,75250000,C, ,0,0.47,35,756.1642,5,75,Orange,5,756.164186894229
16,87250000,C, ,3.573,3.727,40,247.6817,6,87,Miami-Dade,6,247.681658146252
17,87000233,L, ,0,2.749,30,4429.7201,6,87,Miami-Dade,6,4429.72008776974
18,30505001,C, ,0,0.257,25,416.2635,2,30,Dixie,2,416.263515083042
19,93120000,C, ,19.048,20.133,45,1742.7977,4,93,Palm Beach,4,1742.7976955576
20,76520000,C, ,6.425,7.65,30,1970.1053,2,76,Putnam,2,1970.10526366643
21,36050000,C, ,3.048,3.248,50,322.2271,5,36,Marion,5,322.22712551697
22,55520000,C, ,8.02,8.62,45,966.0449,3,55,Leon,3,966.044871042748
23,94040000,C, ,3.719,6.96,50,5237.3241,4,94,St. Lucie,4,5237.32411180726
24,26570000,C, ,12.577,15.247,55,4295.7908,2,26,Alachua,2,4295.79082609833
25,29020000,C, ,18.587,19.203,45,991.1698,2,29,Columbia,2,991.169777011071
26,60030000,C, ,2.5,3.28,45,1259.0483,3,60,Walton,3,1259.04825050384
27,29511000,C, ,0,1.267,45,2043.7864,2,29,Columbia,2,2043.78639717247
28,14000015,C, ,0,2.092,30,3376.3428,7,14,Pasco,7,3376.34277207195
29,12004000,C, ,9.79,10.726,50,1499.0065,1,12,Lee,1,1499.00650153561
30,27040000,C, ,15.482,22.14,25,10715.016,2,27,Baker,2,10715.0160125139
31,87000084,R, ,0.682,1.774,40,1753.617,6,87,Miami-Dade,6,1753.61699361375
32,37000020,C, ,0,0.607,25,974.138,2,37,Suwannee,2,974.13803514201
33,87000404,R, ,0.191,0.536,30,554.6052,6,87,Miami-Dade,6,554.60523455149
34,11540000,C, ,2.1,2.833,55,1179.7307,5,11,Lake,5,1179.73069743742
35,75026500,C, ,1.612,2.94,25,2138.328,5,75,Orange,5,2138.32798787712
36,11683000,C, ,0,2.11,45,3396.5708,5,11,Lake,5,3396.57084002132
37,11350000,C, ,0,1.128,70,1814.7672,5,11,Lake,5,1814.76715405328
38,36502000,C, ,0,1.26,45,2011.7685,5,36,Marion,5,2011.76850421712
39,75000182,C, ,0,0.51,25,811.89,5,75,Orange,5,811.890007209155
40,75040000,C, ,13.699,14.819,30,1802.4905,5,75,Orange,5,1802.49047036724
41,57000114,C, ,1.423,1.95,25,850.2708,3,57,Okaloosa,3,850.270829565001
42,93200000,C, ,7.215,7.915,40,1126.5294,4,93,Palm Beach,4,1126.52944209022
43,76040000,C, ,1.355,6.093,60,7632.7775,2,76,Putnam,2,7632.77746946739
44,36020000,C, ,0,15.933,55,25623.94,5,36,Marion,5,25623.9399966471
45,55513000,C, ,0,1.067,30,1723.0617,3,55,Leon,3,1723.06167547352
46,76540000,C, ,0,0.7,35,1127.3737,2,76,Putnam,2,1127.37368782365
47,26506001,C, ,2.215,3.421,40,1942.7193,2,26,Alachua,2,1942.71932958512
48,93605000,C, ,0,0.798,15,1283.2293,4,93,Palm Beach,4,1283.22932771441
49,75140000,C, ,0,2.418,55,3889.2302,5,75,Orange,5,3889.23016207151
50,87240000,R, ,7.556,9.231,40,2690.5803,6,87,Miami-Dade,6,2690.58027291536
51,29050000,C, ,6.731,7.02,50,465.36,2,29,Columbia,2,465.360048167431
52,26060000,C, ,25.13,25.405,55,442.5577,2,26,Alachua,2,442.557731425839
53,34020000,C, ,0,0.13,30,209.4871,2,34,Levy,2,209.487050383309
54,87000063,R, ,1.399,1.723,40,524.9478,6,87,Miami-Dade,6,524.947801430238
55,94000047,C, ,2.2,3.102,35,1447.5179,4,94,St. Lucie,4,1447.51792997236
56,87000311,R, ,0,1.17,35,1884.8668,6,87,Miami-Dade,6,1884.86679774113
57,57030030,C, ,20.761,23.305,45,4104.1556,3,57,Okaloosa,3,4104.15556414605
58,75012500,R, ,0.57,1.757,35,1909.2526,5,75,Orange,5,1909.25262775171
59,11590500,C, ,0.538,0.737,35,321.9246,5,11,Lake,5,321.92459522729
60,11200000,C, ,15.2,16.59,50,2236.9473,5,11,Lake,5,2236.94734883569
61,36080000,C, ,0.81,2.365,40,2498.3555,5,36,Marion,5,2498.35553542391
62,56010000,C, ,13.345,20.97,60,12284.9231,3,56,Liberty,3,12284.9230754335
63,94500003,C, ,0,0.498,30,799.5471,4,94,St. Lucie,4,799.547136187739
64,94030000,C, ,0,17,65,27292.2943,4,94,St. Lucie,4,27292.2943046231
65,27000001,C, ,0,1.12,35,1801.1573,2,27,Baker,2,1801.15727215103
66,75040000,C, ,12.283,12.525,35,389.5415,5,75,Orange,5,389.541546553603
